Average Emission CH4 (mgm-2h-1);Type of Wetland
1.25;Natural
1.29;Natural
1.29;Natural
1.33;Natural
1.33;Natural
1.33;Natural
1.35;Natural
1.36;Natural
1.38;Natural
1.38;Natural
1.42;Natural
1.42;Natural
1.43;Natural
1.45;Natural
1.46;Natural
1.50;Natural
1.54;Natural
1.57;Natural
1.57;Natural
1.58;Natural
1.59;Natural
1.62;Natural
1.72;Natural
1.79;Natural
1.82;Natural
1.84;Natural
1.88;Natural
1.93;Natural
1.95;Natural
2.08;Natural
2.10;Natural
2.12;Natural
2.15;Natural
2.21;Natural
2.25;Natural
2.29;Natural
2.32;Natural
2.32;Natural
2.32;Natural
2.40;Natural
2.50;Natural
2.51;Natural
2.62;Natural
2.63;Natural
2.68;Natural
2.72;Natural
2.79;Natural
2.81;Natural
3.08;Natural
3.10;Natural
3.12;Natural
3.17;Natural
3.37;Natural
3.41;Natural
3.46;Natural
3.50;Natural
3.63;Natural
3.67;Natural
3.70;Natural
3.71;Natural
3.75;Natural
3.79;Natural
3.80;Natural
3.83;Natural
3.88;Natural
4.01;Natural
4.04;Natural
4.17;Natural
4.36;Natural
4.38;Natural
4.42;Natural
4.74;Natural
4.95;Natural
5.03;Natural
5.03;Natural
5.15;Natural
5.42;Natural
5.42;Natural
5.44;Natural
5.50;Natural
5.51;Natural
5.55;Natural
5.71;Natural
5.80;Natural
5.98;Natural
6.29;Natural
6.41;Natural
6.65;Natural
6.67;Natural
6.83;Natural
6.84;Natural
7.08;Natural
7.25;Natural
7.37;Natural
7.43;Natural
7.44;Natural
7.60;Natural
7.85;Natural
7.90;Natural
7.93;Natural
7.96;Natural
8.01;Natural
8.01;Natural
8.20;Natural
8.34;Natural
8.37;Natural
8.56;Natural
8.75;Natural
8.94;Natural
8.96;Natural
9.00;Natural
9.03;Natural
9.08;Natural
9.11;Natural
9.17;Natural
9.20;Natural
9.41;Natural
9.48;Natural
9.70;Natural
9.76;Natural
10.00;Natural
10.00;Natural
10.17;Natural
10.88;Natural
11.02;Natural
11.05;Natural
11.17;Natural
11.30;Natural
11.46;Natural
11.55;Natural
11.60;Natural
11.97;Natural
12.06;Natural
12.10;Natural
12.31;Natural
13.33;Natural
13.42;Natural
13.87;Natural
14.58;Natural
15.50;Natural
15.74;Natural
16.13;Natural
17.00;Natural
17.50;Natural
18.10;Natural
18.10;Natural
18.98;Natural
19.01;Natural
19.17;Natural
20.20;Natural
20.50;Natural
20.74;Natural
24.20;Natural
24.58;Natural
25.00;Natural
26.83;Natural
26.96;Natural
29.54;Natural
31.60;Natural
31.67;Natural
31.73;Natural
34.58;Natural
34.58;Natural
34.60;Natural
39.58;Natural
42.08;Natural
52.50;Natural
81.25;Natural
102.08;Natural
112.50;Natural
216.67;Natural
-30.90;Costructed
-9.82;Costructed
-0.14;Costructed
-0.10;Costructed
-0.06;Costructed
-0.03;Costructed
-0.03;Costructed
-0.02;Costructed
-0.01;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.00;Costructed
0.02;Costructed
0.03;Costructed
0.04;Costructed
0.04;Costructed
0.05;Costructed
0.05;Costructed
0.06;Costructed
0.06;Costructed
0.09;Costructed
0.10;Costructed
0.10;Costructed
0.12;Costructed
0.12;Costructed
0.14;Costructed
0.15;Costructed
0.15;Costructed
0.16;Costructed
0.16;Costructed
0.17;Costructed
0.17;Costructed
0.19;Costructed
0.20;Costructed
0.21;Costructed
0.21;Costructed
0.22;Costructed
0.22;Costructed
0.23;Costructed
0.24;Costructed
0.24;Costructed
0.25;Costructed
0.25;Costructed
0.26;Costructed
0.27;Costructed
0.28;Costructed
0.29;Costructed
0.29;Costructed
0.31;Costructed
0.36;Costructed
0.37;Costructed
0.38;Costructed
0.48;Costructed
0.50;Costructed
0.90;Costructed
0.92;Costructed
0.99;Costructed
1.00;Costructed
1.21;Costructed
1.33;Costructed
1.36;Costructed
1.42;Costructed
1.68;Costructed
1.72;Costructed
1.75;Costructed
1.78;Costructed
1.89;Costructed
1.91;Costructed
1.97;Costructed
2.02;Costructed
2.02;Costructed
2.07;Costructed
2.14;Costructed
2.22;Costructed
2.33;Costructed
2.34;Costructed
2.42;Costructed
2.45;Costructed
2.47;Costructed
2.58;Costructed
2.58;Costructed
2.67;Costructed
2.74;Costructed
2.79;Costructed
2.86;Costructed
2.89;Costructed
2.95;Costructed
2.96;Costructed
2.96;Costructed
3.08;Costructed
3.17;Costructed
3.25;Costructed
3.29;Costructed
3.30;Costructed
3.38;Costructed
3.43;Costructed
3.48;Costructed
3.54;Costructed
3.66;Costructed
3.72;Costructed
3.72;Costructed
3.88;Costructed
4.03;Costructed
4.05;Costructed
4.12;Costructed
4.39;Costructed
4.61;Costructed
4.78;Costructed
5.04;Costructed
5.09;Costructed
5.27;Costructed
5.29;Costructed
5.65;Costructed
5.81;Costructed
5.88;Costructed
5.91;Costructed
5.92;Costructed
5.92;Costructed
6.46;Costructed
6.76;Costructed
7.09;Costructed
7.20;Costructed
7.35;Costructed
7.37;Costructed
7.54;Costructed
8.08;Costructed
8.37;Costructed
9.05;Costructed
9.25;Costructed
9.38;Costructed
9.63;Costructed
10.00;Costructed
10.22;Costructed
10.72;Costructed
10.98;Costructed
12.01;Costructed
12.22;Costructed
12.37;Costructed
12.66;Costructed
12.71;Costructed
13.00;Costructed
13.88;Costructed
13.99;Costructed
14.29;Costructed
15.57;Costructed
15.59;Costructed
15.67;Costructed
15.77;Costructed
15.95;Costructed
16.22;Costructed
16.46;Costructed
16.73;Costructed
16.87;Costructed
17.18;Costructed
18.03;Costructed
18.04;Costructed
18.56;Costructed
18.98;Costructed
19.25;Costructed
19.26;Costructed
19.54;Costructed
19.59;Costructed
19.62;Costructed
19.77;Costructed
20.38;Costructed
20.45;Costructed
20.97;Costructed
21.14;Costructed
21.50;Costructed
21.93;Costructed
22.64;Costructed
22.70;Costructed
23.17;Costructed
23.65;Costructed
24.86;Costructed
26.34;Costructed
26.90;Costructed
28.10;Costructed
28.28;Costructed
28.41;Costructed
29.82;Costructed
30.15;Costructed
30.73;Costructed
31.52;Costructed
31.54;Costructed
31.58;Costructed
32.24;Costructed
32.42;Costructed
34.21;Costructed
37.73;Costructed
40.31;Costructed
42.95;Costructed
44.28;Costructed
47.24;Costructed
49.16;Costructed
61.38;Costructed
67.53;Costructed
70.70;Costructed
71.17;Costructed
94.53;Costructed
102.24;Costructed
105.83;Costructed
109.17;Costructed
131.67;Costructed
136.14;Costructed
164.58;Costructed
185.13;Costructed
199.04;Costructed
241.67;Costructed
270.28;Costructed
419.97;Costructed
503.33;Costructed
1971.47;Costructed
2259.85;Costructed
33813.78;Costructed
40906.54;Costructed
0.24;Costructed
0.56;Costructed
0.09;Costructed
0.05;Costructed
0.05;Costructed
0.06;Costructed
0.07;Costructed
